"resp.id","ques","alt","healthy","pulp","juice","added","price","choice"
"4250",62,2,2,"no","lots","frozen","vit_A","5.89",0
"2948",62,2,3,"no","some","frozen","vit_B","4.89",0
"847",62,3,1,"no","some","fresh","vit_B","3.89",1
"950",62,3,2,"no","lots","fresh","vit_B","3.89",0
"4454",62,3,3,"no","some","fresh","vit_B","5.89",0
"1178",62,4,1,"no","some","frozen","vit_B","3.89",1
"3350",62,4,2,"no","lots","fresh","multi","4.89",0
"2181",62,4,3,"no","lots","fresh","vit_A","4.89",0
"4553",62,5,1,"no","lots","fresh","vit_B","5.89",0
"1353",62,5,2,"no","none","fresh","multi","3.89",1
"4754",62,5,3,"no","some","frozen","vit_B","5.89",0
"3451",62,6,1,"no","none","frozen","multi","4.89",1
"2746",62,6,2,"no","lots","fresh","vit_B","4.89",0
"4353",62,6,3,"no","none","fresh","vit_B","5.89",0
"1179",62,7,1,"no","none","fresh","vit_A","3.89",0
"4184",62,7,2,"no","none","frozen","vit_A","3.89",1
"4953",62,7,3,"no","none","fresh","multi","5.89",0
"3253",62,8,1,"no","some","fresh","multi","4.89",0
"3745",62,8,2,"no","none","fresh","vit_A","5.89",1
"1451",62,8,3,"no","some","fresh","multi","3.89",0
"2256",62,9,1,"no","none","frozen","vit_A","4.89",1
"4048",62,9,2,"no","none","frozen","vit_A","5.89",0
"5153",62,9,3,"no","lots","fresh","multi","5.89",0
"1053",62,10,1,"no","none","frozen","vit_B","3.89",1
"2048",62,10,2,"no","some","fresh","vit_A","4.89",0
"1951",62,10,3,"no","none","fresh","vit_A","4.89",0
"4652",62,11,1,"no","none","frozen","vit_B","5.89",0
"3653",62,11,2,"no","lots","frozen","multi","4.89",1
"3175",62,11,3,"no","lots","fresh","vit_A","3.89",0
"3548",62,12,1,"no","some","frozen","multi","4.89",0
"5255",62,12,2,"no","none","frozen","multi","5.89",1
"751",62,12,3,"no","none","fresh","vit_B","3.89",0
"2852",62,13,1,"no","none","frozen","vit_B","4.89",0
"4185",62,13,2,"no","some","frozen","vit_A","5.89",1
"2552",62,13,3,"no","none","fresh","vit_B","4.89",0
"2350",62,14,1,"no","some","frozen","vit_A","4.89",0
"1550",62,14,2,"no","lots","fresh","multi","3.89",0
"3049",62,14,3,"no","lots","frozen","vit_B","4.89",1
"4847",62,15,1,"no","lots","frozen","vit_B","5.89",0
"2182",62,15,2,"no","some","fresh","vit_A","3.89",1
"1251",62,15,3,"no","lots","frozen","vit_B","3.89",0
"752",63,1,1,"no","none","fresh","vit_B","3.89",1
"1658",63,1,2,"no","none","frozen","multi","3.89",0
"4455",63,1,3,"no","some","fresh","vit_B","5.89",0
"951",63,2,1,"no","lots","fresh","vit_B","3.89",1
"4251",63,2,2,"no","lots","frozen","vit_A","5.89",0
"2747",63,2,3,"no","lots","fresh","vit_B","4.89",0
"4049",63,3,1,"no","none","frozen","vit_A","5.89",1
"2453",63,3,2,"no","lots","frozen","vit_A","4.89",0
"1180",63,3,3,"no","some","frozen","vit_B","3.89",0
"2853",63,4,1,"no","none","frozen","vit_B","4.89",0
"654",63,4,2,"no","lots","frozen","vit_A","3.89",1
"3254",63,4,3,"no","some","fresh","multi","4.89",0
"3176",63,5,1,"no","none","fresh","multi","4.89",0
"3177",63,5,2,"no","lots","fresh","vit_A","3.89",1
"5448",63,5,3,"no","lots","frozen","multi","5.89",0
"1551",63,6,1,"no","lots","fresh","multi","3.89",0
"593",63,6,2,"no","some","frozen","vit_A","3.89",1
"1054",63,6,3,"no","none","frozen","vit_B","3.89",0
"4186",63,7,1,"no","none","frozen","vit_A","3.89",1
"1252",63,7,2,"no","lots","frozen","vit_B","3.89",0
"3351",63,7,3,"no","lots","fresh","multi","4.89",0
"5350",63,8,1,"no","some","frozen","multi","5.89",0
"1851",63,8,2,"no","lots","frozen","multi","3.89",0
"2351",63,8,3,"no","some","frozen","vit_A","4.89",1
"3549",63,9,1,"no","some","frozen","multi","4.89",0
"4354",63,9,2,"no","none","fresh","vit_B","5.89",0
"1354",63,9,3,"no","none","fresh","multi","3.89",1
"2257",63,10,1,"no","none","frozen","vit_A","4.89",0
"3851",63,10,2,"no","some","fresh","vit_A","5.89",0
"4954",63,10,3,"no","none","fresh","multi","5.89",1
"4755",63,11,1,"no","some","frozen","vit_B","5.89",0
"2651",63,11,2,"no","some","fresh","vit_B","4.89",1
"4187",63,11,3,"no","some","frozen","vit_A","5.89",0
"5049",63,12,1,"no","some","fresh","multi","5.89",0
"4653",63,12,2,"no","none","frozen","vit_B","5.89",1
"3948",63,12,3,"no","lots","fresh","vit_A","5.89",0
"2183",63,13,1,"no","some","fresh","vit_A","3.89",1
"4848",63,13,2,"no","lots","frozen","vit_B","5.89",0
"5256",63,13,3,"no","none","frozen","multi","5.89",0
"1181",63,14,1,"no","none","fresh","vit_A","3.89",1
"1755",63,14,2,"no","some","frozen","multi","3.89",0
"2949",63,14,3,"no","some","frozen","vit_B","4.89",0
"3452",63,15,1,"no","none","frozen","multi","4.89",1
"4554",63,15,2,"no","lots","fresh","vit_B","5.89",0
"3050",63,15,3,"no","lots","frozen","vit_B","4.89",0
"2553",64,1,1,"no","none","fresh","vit_B","4.89",0
"1852",64,1,2,"no","lots","frozen","multi","3.89",1
"753",64,1,3,"no","none","fresh","vit_B","3.89",0
"3949",64,2,1,"no","lots","fresh","vit_A","5.89",0
"2950",64,2,2,"no","some","frozen","vit_B","4.89",1
"4188",64,2,3,"no","some","frozen","vit_A","5.89",0
"3654",64,3,1,"no","lots","frozen","multi","4.89",0
"3550",64,3,2,"no","some","frozen","multi","4.89",0
"952",64,3,3,"no","lots","fresh","vit_B","3.89",1
"1552",64,4,1,"no","lots","fresh","multi","3.89",0
"1253",64,4,2,"no","lots","frozen","vit_B","3.89",0
"594",64,4,3,"no","some","frozen","vit_A","3.89",1
"3352",64,5,1,"no","lots","fresh","multi","4.89",0
"4050",64,5,2,"no","none","frozen","vit_A","5.89",1
"5351",64,5,3,"no","some","frozen","multi","5.89",0
"848",64,6,1,"no","some","fresh","vit_B","3.89",0
"2258",64,6,2,"no","none","frozen","vit_A","4.89",0
"2352",64,6,3,"no","some","frozen","vit_A","4.89",1
"3746",64,7,1,"no","none","fresh","vit_A","5.89",0
"1952",64,7,2,"no","none","fresh","vit_A","4.89",1
"4654",64,7,3,"no","none","frozen","vit_B","5.89",0
"4756",64,8,1,"no","some","frozen","vit_B","5.89",0
"655",64,8,2,"no","lots","frozen","vit_A","3.89",1
"3255",64,8,3,"no","some","fresh","multi","4.89",0
"4849",64,9,1,"no","lots","frozen","vit_B","5.89",0
"2049",64,9,2,"no","some","fresh","vit_A","4.89",0
"2652",64,9,3,"no","some","fresh","vit_B","4.89",1
"5154",64,10,1,"no","lots","fresh","multi","5.89",0
"4252",64,10,2,"no","lots","frozen","vit_A","5.89",0
"5050",64,10,3,"no","some","fresh","multi","5.89",1
"4955",64,11,1,"no","none","fresh","multi","5.89",0
"1756",64,11,2,"no","some","frozen","multi","3.89",1
"1355",64,11,3,"no","none","fresh","multi","3.89",0
"4355",64,12,1,"no","none","fresh","vit_B","5.89",0
"3852",64,12,2,"no","some","fresh","vit_A","5.89",0
"3178",64,12,3,"no","lots","fresh","vit_A","3.89",1
"3179",64,13,1,"no","none","fresh","multi","4.89",0
"2854",64,13,2,"no","none","frozen","vit_B","4.89",1
"4456",64,13,3,"no","some","fresh","vit_B","5.89",0
"2184",64,14,1,"no","lots","fresh","vit_A","4.89",0
"5257",64,14,2,"no","none","frozen","multi","5.89",0
"2454",64,14,3,"no","lots","frozen","vit_A","4.89",1
"1182",64,15,1,"no","some","frozen","vit_B","3.89",0
"3453",64,15,2,"no","none","frozen","multi","4.89",0
"1183",64,15,3,"no","none","fresh","vit_A","3.89",1
"4457",65,1,1,"no","some","fresh","vit_B","5.89",0
"1254",65,1,2,"no","lots","frozen","vit_B","3.89",0
"4189",65,1,3,"no","some","frozen","vit_A","5.89",1
"2554",65,2,1,"no","none","fresh","vit_B","4.89",0
"1452",65,2,2,"no","some","fresh","multi","3.89",0
"1055",65,2,3,"no","none","frozen","vit_B","3.89",1
"3655",65,3,1,"no","lots","frozen","multi","4.89",0
"2050",65,3,2,"no","some","fresh","vit_A","4.89",1
"5258",65,3,3,"no","none","frozen","multi","5.89",0
"3180",65,4,1,"no","lots","fresh","vit_A","3.89",1
"5352",65,4,2,"no","some","frozen","multi","5.89",0
"4757",65,4,3,"no","some","frozen","vit_B","5.89",0
"2855",65,5,1,"no","none","frozen","vit_B","4.89",0
"3256",65,5,2,"no","some","fresh","multi","4.89",0
"2455",65,5,3,"no","lots","frozen","vit_A","4.89",1
"3950",65,6,1,"no","lots","fresh","vit_A","5.89",1
"2653",65,6,2,"no","some","fresh","vit_B","4.89",0
"2951",65,6,3,"no","some","frozen","vit_B","4.89",0
"5449",65,7,1,"no","lots","frozen","multi","5.89",0
"5051",65,7,2,"no","some","fresh","multi","5.89",0
"2748",65,7,3,"no","lots","fresh","vit_B","4.89",1
"2185",65,8,1,"no","some","fresh","vit_A","3.89",1
"1757",65,8,2,"no","some","frozen","multi","3.89",0
"3353",65,8,3,"no","lots","fresh","multi","4.89",0
"1953",65,9,1,"no","none","fresh","vit_A","4.89",1
"4850",65,9,2,"no","lots","frozen","vit_B","5.89",0
"3051",65,9,3,"no","lots","frozen","vit_B","4.89",0
"2353",65,10,1,"no","some","frozen","vit_A","4.89",0
"1184",65,10,2,"no","some","frozen","vit_B","3.89",1
"1185",65,10,3,"no","none","fresh","vit_A","3.89",0
"754",65,11,1,"no","none","fresh","vit_B","3.89",1
"3551",65,11,2,"no","some","frozen","multi","4.89",0
"4655",65,11,3,"no","none","frozen","vit_B","5.89",0
"3454",65,12,1,"no","none","frozen","multi","4.89",0
"4555",65,12,2,"no","lots","fresh","vit_B","5.89",0
"2259",65,12,3,"no","none","frozen","vit_A","4.89",1
"3747",65,13,1,"no","none","fresh","vit_A","5.89",0
"1356",65,13,2,"no","none","fresh","multi","3.89",0
"4051",65,13,3,"no","none","frozen","vit_A","5.89",1
"953",65,14,1,"no","lots","fresh","vit_B","3.89",0
"2186",65,14,2,"no","lots","fresh","vit_A","4.89",1
"4956",65,14,3,"no","none","fresh","multi","5.89",0
"4190",65,15,1,"no","none","frozen","vit_A","3.89",1
"1553",65,15,2,"no","lots","fresh","multi","3.89",0
"3853",65,15,3,"no","some","fresh","vit_A","5.89",0
"1554",66,1,1,"no","lots","fresh","multi","3.89",0
"4191",66,1,2,"no","none","frozen","vit_A","3.89",0
"1853",66,1,3,"no","lots","frozen","multi","3.89",1
"5353",66,2,1,"no","some","frozen","multi","5.89",0
"1056",66,2,2,"no","none","frozen","vit_B","3.89",1
"2555",66,2,3,"no","none","fresh","vit_B","4.89",0
"656",66,3,1,"no","lots","frozen","vit_A","3.89",1
"5052",66,3,2,"no","some","fresh","multi","5.89",0
"3854",66,3,3,"no","some","fresh","vit_A","5.89",0
"1357",66,4,1,"no","none","fresh","multi","3.89",1
"2354",66,4,2,"no","some","frozen","vit_A","4.89",0
"2749",66,4,3,"no","lots","fresh","vit_B","4.89",0
"954",66,5,1,"no","lots","fresh","vit_B","3.89",0
"5155",66,5,2,"no","lots","fresh","multi","5.89",0
"2260",66,5,3,"no","none","frozen","vit_A","4.89",1
"5450",66,6,1,"no","lots","frozen","multi","5.89",0
"4851",66,6,2,"no","lots","frozen","vit_B","5.89",0
"3748",66,6,3,"no","none","fresh","vit_A","5.89",1
"3181",66,7,1,"no","lots","fresh","vit_A","3.89",1
"3257",66,7,2,"no","some","fresh","multi","4.89",0
"3455",66,7,3,"no","none","frozen","multi","4.89",0
"1758",66,8,1,"no","some","frozen","multi","3.89",1
"755",66,8,2,"no","none","fresh","vit_B","3.89",0
"4758",66,8,3,"no","some","frozen","vit_B","5.89",0
"2187",66,9,1,"no","lots","fresh","vit_A","4.89",1
"3052",66,9,2,"no","lots","frozen","vit_B","4.89",0
"849",66,9,3,"no","some","fresh","vit_B","3.89",0
"1186",66,10,1,"no","none","fresh","vit_A","3.89",1
"1187",66,10,2,"no","some","frozen","vit_B","3.89",0
"2856",66,10,3,"no","none","frozen","vit_B","4.89",0
"5259",66,11,1,"no","none","frozen","multi","5.89",0
"595",66,11,2,"no","some","frozen","vit_A","3.89",1
"1954",66,11,3,"no","none","fresh","vit_A","4.89",0
"2051",66,12,1,"no","some","fresh","vit_A","4.89",0
"4556",66,12,2,"no","lots","fresh","vit_B","5.89",1
"2952",66,12,3,"no","some","frozen","vit_B","4.89",0
"1255",66,13,1,"no","lots","frozen","vit_B","3.89",1
"2188",66,13,2,"no","some","fresh","vit_A","3.89",0
"4052",66,13,3,"no","none","frozen","vit_A","5.89",0
"4458",66,14,1,"no","some","fresh","vit_B","5.89",0
"3656",66,14,2,"no","lots","frozen","multi","4.89",0
"4192",66,14,3,"no","some","frozen","vit_A","5.89",1
"3354",66,15,1,"no","lots","fresh","multi","4.89",0
"3182",66,15,2,"no","none","fresh","multi","4.89",0
"4356",66,15,3,"no","none","fresh","vit_B","5.89",1
"4459",67,1,1,"no","some","fresh","vit_B","5.89",0
"4957",67,1,2,"no","none","fresh","multi","5.89",0
"4193",67,1,3,"no","some","frozen","vit_A","5.89",1
"2654",67,2,1,"no","some","fresh","vit_B","4.89",0
"1358",67,2,2,"no","none","fresh","multi","3.89",1
"5156",67,2,3,"no","lots","fresh","multi","5.89",0
"955",67,3,1,"no","lots","fresh","vit_B","3.89",0
"1854",67,3,2,"no","lots","frozen","multi","3.89",0
"1188",67,3,3,"no","some","frozen","vit_B","3.89",1
"4194",67,4,1,"no","none","frozen","vit_A","3.89",0
"5053",67,4,2,"no","some","fresh","multi","5.89",0
"2355",67,4,3,"no","some","frozen","vit_A","4.89",1
"657",67,5,1,"no","lots","frozen","vit_A","3.89",0
"5260",67,5,2,"no","none","frozen","multi","5.89",0
"3749",67,5,3,"no","none","fresh","vit_A","5.89",1
"3855",67,6,1,"no","some","fresh","vit_A","5.89",0
"3258",67,6,2,"no","some","fresh","multi","4.89",0
"1189",67,6,3,"no","none","fresh","vit_A","3.89",1
"3657",67,7,1,"no","lots","frozen","multi","4.89",0
"2052",67,7,2,"no","some","fresh","vit_A","4.89",0
"4357",67,7,3,"no","none","fresh","vit_B","5.89",1
"1555",67,8,1,"no","lots","fresh","multi","3.89",0
"2953",67,8,2,"no","some","frozen","vit_B","4.89",1
"5451",67,8,3,"no","lots","frozen","multi","5.89",0
"4053",67,9,1,"no","none","frozen","vit_A","5.89",0
"3951",67,9,2,"no","lots","fresh","vit_A","5.89",0
"4656",67,9,3,"no","none","frozen","vit_B","5.89",1
"5354",67,10,1,"no","some","frozen","multi","5.89",0
"4557",67,10,2,"no","lots","fresh","vit_B","5.89",0
"2189",67,10,3,"no","lots","fresh","vit_A","4.89",1
"3183",67,11,1,"no","none","fresh","multi","4.89",0
"4759",67,11,2,"no","some","frozen","vit_B","5.89",1
"1759",67,11,3,"no","some","frozen","multi","3.89",0
"2556",67,12,1,"no","none","fresh","vit_B","4.89",1
"2456",67,12,2,"no","lots","frozen","vit_A","4.89",0
"4253",67,12,3,"no","lots","frozen","vit_A","5.89",0
"2750",67,13,1,"no","lots","fresh","vit_B","4.89",0
"3355",67,13,2,"no","lots","fresh","multi","4.89",0
"1659",67,13,3,"no","none","frozen","multi","3.89",1
"1955",67,14,1,"no","none","fresh","vit_A","4.89",1
"850",67,14,2,"no","some","fresh","vit_B","3.89",0
"3456",67,14,3,"no","none","frozen","multi","4.89",0
"3184",67,15,1,"no","lots","fresh","vit_A","3.89",1
"3053",67,15,2,"no","lots","frozen","vit_B","4.89",0
"2190",67,15,3,"no","some","fresh","vit_A","3.89",0
"2457",68,1,1,"no","lots","frozen","vit_A","4.89",1
"1760",68,1,2,"no","some","frozen","multi","3.89",0
"2954",68,1,3,"no","some","frozen","vit_B","4.89",0
"4195",68,2,1,"no","some","frozen","vit_A","5.89",0
"5054",68,2,2,"no","some","fresh","multi","5.89",0
"4460",68,2,3,"no","some","fresh","vit_B","5.89",1
"4760",68,3,1,"no","some","frozen","vit_B","5.89",0
"3952",68,3,2,"no","lots","fresh","vit_A","5.89",1
"956",68,3,3,"no","lots","fresh","vit_B","3.89",0
"5452",68,4,1,"no","lots","frozen","multi","5.89",0
"2053",68,4,2,"no","some","fresh","vit_A","4.89",1
"3356",68,4,3,"no","lots","fresh","multi","4.89",0
"2751",68,5,1,"no","lots","fresh","vit_B","4.89",0
"1956",68,5,2,"no","none","fresh","vit_A","4.89",1
"4558",68,5,3,"no","lots","fresh","vit_B","5.89",0
"3658",68,6,1,"no","lots","frozen","multi","4.89",0
"1556",68,6,2,"no","lots","fresh","multi","3.89",0
"5261",68,6,3,"no","none","frozen","multi","5.89",1
"5355",68,7,1,"no","some","frozen","multi","5.89",0
"3259",68,7,2,"no","some","fresh","multi","4.89",1
"3856",68,7,3,"no","some","fresh","vit_A","5.89",0
"4852",68,8,1,"no","lots","frozen","vit_B","5.89",0
"4254",68,8,2,"no","lots","frozen","vit_A","5.89",0
"2356",68,8,3,"no","some","frozen","vit_A","4.89",1
"3185",68,9,1,"no","none","fresh","multi","4.89",0
"4657",68,9,2,"no","none","frozen","vit_B","5.89",0
"1256",68,9,3,"no","lots","frozen","vit_B","3.89",1
"596",68,10,1,"no","some","frozen","vit_A","3.89",1
"2557",68,10,2,"no","none","fresh","vit_B","4.89",0
"3457",68,10,3,"no","none","frozen","multi","4.89",0
"3054",68,11,1,"no","lots","frozen","vit_B","4.89",0
"1359",68,11,2,"no","none","fresh","multi","3.89",0
"4358",68,11,3,"no","none","fresh","vit_B","5.89",1
"5157",68,12,1,"no","lots","fresh","multi","5.89",0
"1453",68,12,2,"no","some","fresh","multi","3.89",0
"1190",68,12,3,"no","some","frozen","vit_B","3.89",1
"658",68,13,1,"no","lots","frozen","vit_A","3.89",0
"3750",68,13,2,"no","none","fresh","vit_A","5.89",0
"2857",68,13,3,"no","none","frozen","vit_B","4.89",1
"1191",68,14,1,"no","none","fresh","vit_A","3.89",1
"2655",68,14,2,"no","some","fresh","vit_B","4.89",0
"3186",68,14,3,"no","lots","fresh","vit_A","3.89",0
"3552",68,15,1,"no","some","frozen","multi","4.89",0
"1057",68,15,2,"no","none","frozen","vit_B","3.89",0
"756",68,15,3,"no","none","fresh","vit_B","3.89",1
"3055",69,1,1,"no","lots","frozen","vit_B","4.89",0
"2558",69,1,2,"no","none","fresh","vit_B","4.89",0
"3187",69,1,3,"no","lots","fresh","vit_A","3.89",1
"4255",69,2,1,"no","lots","frozen","vit_A","5.89",0
"1557",69,2,2,"no","lots","fresh","multi","3.89",0
"2191",69,2,3,"no","lots","fresh","vit_A","4.89",1
"3260",69,3,1,"no","some","fresh","multi","4.89",0
"4196",69,3,2,"no","none","frozen","vit_A","3.89",1
"3357",69,3,3,"no","lots","fresh","multi","4.89",0
"757",69,4,1,"no","none","fresh","vit_B","3.89",1
"3553",69,4,2,"no","some","frozen","multi","4.89",0
"3953",69,4,3,"no","lots","fresh","vit_A","5.89",0
"659",69,5,1,"no","lots","frozen","vit_A","3.89",0
"2054",69,5,2,"no","some","fresh","vit_A","4.89",1
"5356",69,5,3,"no","some","frozen","multi","5.89",0
"4853",69,6,1,"no","lots","frozen","vit_B","5.89",0
"4197",69,6,2,"no","some","frozen","vit_A","5.89",0
"4054",69,6,3,"no","none","frozen","vit_A","5.89",1
"3857",69,7,1,"no","some","fresh","vit_A","5.89",0
"1192",69,7,2,"no","none","fresh","vit_A","3.89",1
"4461",69,7,3,"no","some","fresh","vit_B","5.89",0
"1193",69,8,1,"no","some","frozen","vit_B","3.89",0
"2192",69,8,2,"no","some","fresh","vit_A","3.89",1
"2858",69,8,3,"no","none","frozen","vit_B","4.89",0
"1855",69,9,1,"no","lots","frozen","multi","3.89",0
"4359",69,9,2,"no","none","fresh","vit_B","5.89",1
"3659",69,9,3,"no","lots","frozen","multi","4.89",0
"4559",69,10,1,"no","lots","fresh","vit_B","5.89",0
"1957",69,10,2,"no","none","fresh","vit_A","4.89",1
"3751",69,10,3,"no","none","fresh","vit_A","5.89",0
"957",69,11,1,"no","lots","fresh","vit_B","3.89",0
"2458",69,11,2,"no","lots","frozen","vit_A","4.89",1
"5262",69,11,3,"no","none","frozen","multi","5.89",0
"2656",69,12,1,"no","some","fresh","vit_B","4.89",0
"597",69,12,2,"no","some","frozen","vit_A","3.89",0
"2752",69,12,3,"no","lots","fresh","vit_B","4.89",1
"851",69,13,1,"no","some","fresh","vit_B","3.89",1
"5158",69,13,2,"no","lots","fresh","multi","5.89",0
"2357",69,13,3,"no","some","frozen","vit_A","4.89",0
"3458",69,14,1,"no","none","frozen","multi","4.89",0
"3188",69,14,2,"no","none","fresh","multi","4.89",0
"1257",69,14,3,"no","lots","frozen","vit_B","3.89",1
"4958",69,15,1,"no","none","fresh","multi","5.89",0
"4658",69,15,2,"no","none","frozen","vit_B","5.89",1
"5055",69,15,3,"no","some","fresh","multi","5.89",0
"1058",70,1,1,"no","none","frozen","vit_B","3.89",1
"2055",70,1,2,"no","some","fresh","vit_A","4.89",0
"4959",70,1,3,"no","none","fresh","multi","5.89",0
"5453",70,2,1,"no","lots","frozen","multi","5.89",0
"2859",70,2,2,"no","none","frozen","vit_B","4.89",0
"958",70,2,3,"no","lots","fresh","vit_B","3.89",1
"5056",70,3,1,"no","some","fresh","multi","5.89",0
"3358",70,3,2,"no","lots","fresh","multi","4.89",0
"5357",70,3,3,"no","some","frozen","multi","5.89",1
"5263",70,4,1,"no","none","frozen","multi","5.89",0
"1558",70,4,2,"no","lots","fresh","multi","3.89",1
"3189",70,4,3,"no","lots","fresh","vit_A","3.89",0
"2193",70,5,1,"no","lots","fresh","vit_A","4.89",0
"1194",70,5,2,"no","none","fresh","vit_A","3.89",1
"3190",70,5,3,"no","none","fresh","multi","4.89",0
"4560",70,6,1,"no","lots","fresh","vit_B","5.89",0
"1761",70,6,2,"no","some","frozen","multi","3.89",1
"4256",70,6,3,"no","lots","frozen","vit_A","5.89",0
"1258",70,7,1,"no","lots","frozen","vit_B","3.89",1
"3056",70,7,2,"no","lots","frozen","vit_B","4.89",0
"3752",70,7,3,"no","none","fresh","vit_A","5.89",0
"1454",70,8,1,"no","some","fresh","multi","3.89",0
"2753",70,8,2,"no","lots","fresh","vit_B","4.89",0
"2459",70,8,3,"no","lots","frozen","vit_A","4.89",1
"1856",70,9,1,"no","lots","frozen","multi","3.89",0
"2261",70,9,2,"no","none","frozen","vit_A","4.89",0
"4198",70,9,3,"no","none","frozen","vit_A","3.89",1
"3660",70,10,1,"no","lots","frozen","multi","4.89",0
"3858",70,10,2,"no","some","fresh","vit_A","5.89",1
"2559",70,10,3,"no","none","fresh","vit_B","4.89",0
"1195",70,11,1,"no","some","frozen","vit_B","3.89",0
"598",70,11,2,"no","some","frozen","vit_A","3.89",1
"3459",70,11,3,"no","none","frozen","multi","4.89",0
"4659",70,12,1,"no","none","frozen","vit_B","5.89",0
"2194",70,12,2,"no","some","fresh","vit_A","3.89",0
"1958",70,12,3,"no","none","fresh","vit_A","4.89",1
"4360",70,13,1,"no","none","fresh","vit_B","5.89",0
"1660",70,13,2,"no","none","frozen","multi","3.89",1
"4761",70,13,3,"no","some","frozen","vit_B","5.89",0
"3261",70,14,1,"no","some","fresh","multi","4.89",0
"3954",70,14,2,"no","lots","fresh","vit_A","5.89",1
"4199",70,14,3,"no","some","frozen","vit_A","5.89",0
"4854",70,15,1,"no","lots","frozen","vit_B","5.89",0
"660",70,15,2,"no","lots","frozen","vit_A","3.89",1
"4055",70,15,3,"no","none","frozen","vit_A","5.89",0
"4257",71,1,1,"no","lots","frozen","vit_A","5.89",0
"3262",71,1,2,"no","some","fresh","multi","4.89",0
"2262",71,1,3,"no","none","frozen","vit_A","4.89",1
"1559",71,2,1,"no","lots","fresh","multi","3.89",0
"2195",71,2,2,"no","some","fresh","vit_A","3.89",1
"2860",71,2,3,"no","none","frozen","vit_B","4.89",0
"2754",71,3,1,"no","lots","fresh","vit_B","4.89",0
"3460",71,3,2,"no","none","frozen","multi","4.89",1
"4660",71,3,3,"no","none","frozen","vit_B","5.89",0
"4762",71,4,1,"no","some","frozen","vit_B","5.89",0
"1259",71,4,2,"no","lots","frozen","vit_B","3.89",1
"4855",71,4,3,"no","lots","frozen","vit_B","5.89",0
"3359",71,5,1,"no","lots","fresh","multi","4.89",0
"4056",71,5,2,"no","none","frozen","vit_A","5.89",0
"1059",71,5,3,"no","none","frozen","vit_B","3.89",1
"4361",71,6,1,"no","none","fresh","vit_B","5.89",0
"3661",71,6,2,"no","lots","frozen","multi","4.89",0
"41100",71,6,3,"no","some","frozen","vit_A","5.89",1
"4200",71,7,1,"no","none","frozen","vit_A","3.89",1
"3859",71,7,2,"no","some","fresh","vit_A","5.89",0
"4462",71,7,3,"no","some","fresh","vit_B","5.89",0
"1455",71,8,1,"no","some","fresh","multi","3.89",0
"3753",71,8,2,"no","none","fresh","vit_A","5.89",1
"1360",71,8,3,"no","none","fresh","multi","3.89",0
"5057",71,9,1,"no","some","fresh","multi","5.89",0
"2560",71,9,2,"no","none","fresh","vit_B","4.89",0
"3955",71,9,3,"no","lots","fresh","vit_A","5.89",1
"2196",71,10,1,"no","lots","fresh","vit_A","4.89",0
"661",71,10,2,"no","lots","frozen","vit_A","3.89",1
"4561",71,10,3,"no","lots","fresh","vit_B","5.89",0
"5358",71,11,1,"no","some","frozen","multi","5.89",0
"1196",71,11,2,"no","none","fresh","vit_A","3.89",1
"1959",71,11,3,"no","none","fresh","vit_A","4.89",0
"2657",71,12,1,"no","some","fresh","vit_B","4.89",0
"2955",71,12,2,"no","some","frozen","vit_B","4.89",0
"5264",71,12,3,"no","none","frozen","multi","5.89",1
"1762",71,13,1,"no","some","frozen","multi","3.89",0
"2460",71,13,2,"no","lots","frozen","vit_A","4.89",1
"2056",71,13,3,"no","some","fresh","vit_A","4.89",0
"758",71,14,1,"no","none","fresh","vit_B","3.89",0
"3191",71,14,2,"no","none","fresh","multi","4.89",1
"5159",71,14,3,"no","lots","fresh","multi","5.89",0
"1197",71,15,1,"no","some","frozen","vit_B","3.89",1
"1661",71,15,2,"no","none","frozen","multi","3.89",0
"959",71,15,3,"no","lots","fresh","vit_B","3.89",0
"2755",72,1,1,"yes","lots","fresh","vit_B","4.89",0
"4362",72,1,2,"yes","none","fresh","vit_B","5.89",1
"3554",72,1,3,"yes","some","frozen","multi","4.89",0
"4057",72,2,1,"yes","none","frozen","vit_A","5.89",1
"3057",72,2,2,"yes","lots","frozen","vit_B","4.89",0
"4463",72,2,3,"yes","some","fresh","vit_B","5.89",0
"2197",72,3,1,"yes","some","fresh","vit_A","3.89",1
"3662",72,3,2,"yes","lots","frozen","multi","4.89",0
"41101",72,3,3,"yes","some","frozen","vit_A","5.89",0
"5058",72,4,1,"yes","some","fresh","multi","5.89",0
"3192",72,4,2,"yes","lots","fresh","vit_A","3.89",1
"3860",72,4,3,"yes","some","fresh","vit_A","5.89",0
"3461",72,5,1,"yes","none","frozen","multi","4.89",1
"1456",72,5,2,"yes","some","fresh","multi","3.89",0
"852",72,5,3,"yes","some","fresh","vit_B","3.89",0
"2263",72,6,1,"yes","none","frozen","vit_A","4.89",0
"1857",72,6,2,"yes","lots","frozen","multi","3.89",1
"1361",72,6,3,"yes","none","fresh","multi","3.89",0
"759",72,7,1,"yes","none","fresh","vit_B","3.89",1
"4562",72,7,2,"yes","lots","fresh","vit_B","5.89",0
"960",72,7,3,"yes","lots","fresh","vit_B","3.89",0
"4763",72,8,1,"yes","some","frozen","vit_B","5.89",0
"3754",72,8,2,"yes","none","fresh","vit_A","5.89",0
"3360",72,8,3,"yes","lots","fresh","multi","4.89",1
